%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm],,,,,,
101755.62,302.234,1.173,0.082,0.004,0,-2.594,-1.115,0.749,1.568,0.433,-1.038,-0.747,-2.247,-0.112,-0.208,0.951,-2.23,2.199,0.628,0,0,-4.977,-0.083,-0.36,0.002,535.448,336.52,,,,,,
101751.588,302.238,1.173,0.376,0.083,-0.32,-1.621,-2.452,0.642,2.091,0.216,-1.453,-1.388,-1.819,-1.005,-0.104,1.796,-2.867,2.617,0.628,0,-0.338,-4.966,-0.083,-0.36,0.001,535.448,336.52,,,,,,
101743.525,302.236,1.173,0,-0.154,0,-2.054,-1.003,0.321,1.777,0.108,-2.076,-1.388,-1.819,0.336,-0.625,1.902,-2.018,2.199,1.047,0.623,-0.45,-4.956,-0.044,-0.36,0.001,535.448,336.52,,,,,,
101743.525,302.231,1.173,0,-0.154,-0.32,-2.378,-1.003,1.713,1.255,0.757,-1.349,-2.029,-1.926,0.447,0,1.69,-1.699,2.513,-0.209,0.934,0,-4.977,-0.063,-0.36,0.001,535.448,336.52,,,,,,
101739.494,302.234,1.173,0,-0.312,-0.32,-2.162,-1.226,1.606,1.673,0.108,-1.453,-0.961,-2.354,0.112,0,2.43,-2.336,2.408,1.151,-0.207,0,-4.977,-0.063,-0.349,0.002,535.448,336.52,,,,,,
101735.462,302.234,1.173,0.082,0.004,-0.32,-1.621,-1.337,1.07,1.673,0.865,-2.076,-0.961,-1.605,-0.781,-0.104,1.902,-2.124,1.989,0.837,0.415,-1.351,-4.977,-0.083,-0.36,0.001,535.448,336.52,,,,,,
101735.462,302.236,1.173,0,-0.075,-0.16,-1.837,-1.115,0.856,1.568,0.541,-1.038,-1.922,-1.498,-0.223,-0.729,2.007,-1.381,2.617,0.733,0.519,-0.113,-4.987,-0.044,-0.36,0.001,535.448,336.52,,,,,,
101747.557,302.233,1.173,0.082,0.004,-0.16,-2.918,-1.337,0.749,1.882,0.324,-1.764,-1.281,-2.033,-0.335,0,1.056,-1.805,2.408,0.523,0.415,-0.338,-4.987,-0.044,-0.349,0.001,535.448,336.52,,,,,,
101759.651,302.238,1.173,0,-0.154,0.16,-2.162,-2.786,1.07,1.777,0.108,-1.557,-1.281,-1.712,-0.112,-0.208,2.536,-2.867,2.827,0.733,0.415,-0.225,-4.966,-0.063,-0.36,0.001,535.448,336.52,,,,,,
101751.588,302.236,1.173,0,-0.154,0.16,-2.054,-0.892,0.428,1.987,0.757,-0.727,-2.136,-1.605,-0.112,-0.834,1.585,-1.699,2.513,0.314,0.519,0.113,-3.051,-0.044,-0.238,0,535.448,336.52,,,,,,
